Smiles,Tg/℃
[*]OC1=CC=C(C=C1)C(C)(C)C1=CC=C(C=C1)OC(=O)[*],149.85
[*]CC(C1=CC=C2C=CC=CC2=C1)[*],150.85
[*]C(F)(F)C(F)(C(F)(F)F)[*],151.85
[*]C1=CC=C(C=C1)C(=C(Cl)Cl)C1=CC=C(C=C1)OC(=O)O[*],156.85
[*]CC(C1=CC=CC2=CC=CC=C12)[*],158.85
[*]CC(C1=C(CO)C=C(C=C1))[*],159.85
[*]CC(C#N)(C(=O)OC)[*],159.85
[*]C1=CC=C(C=C1)C1(CCCC1)C1=CC=C(C=C1)OC(=O)O[*],166.85
[*]OC(=O)C1=CC=C(C=C1)C(=O)OC1=C(C)C=C(C=C1)C(C)(C)C1=CC(C)=C(C=C1)[*],170.85
[*]C1=CC=C(C=C1)C1(CCCCC1)C1=CC=C(C=C1)OC(=O)O[*],170.85
[*]C1=CC=C(C=C1)C(C1=CC=CC=C1)(C)C1=CC=C(C=C1)OC(=O)O[*],175.85
[*]C1=CC=C(C=C1)C(C(F)(F)F)(C(F)(F)F)C1=CC=C(C=C1)OC(=O)O[*],175.85
[*]C1=CC=C(C=C1)C(C(F)(Cl)F)(C(F)(Cl)F)C1=CC=C(C=C1)OC(=O)O[*],183.85
[*]C1=CC=C(C=C1)C(C)(C)C1=CC=C(C=C1)OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(C=C1)O[*],184.85
[*]C1=CC=C(C=C1)C(C)(C)C2=CC(=C(C(=C2)Cl)OC(=O)O[*])Cl,185.85
[*]C(F)(F)C(F)(C1=C(F)C(F)=C(F)(C(F)=C1(F)))[*],193.85
[*]C1=CC(C)=C(C(C)=C1)C(C)(C)C1=C(C)C=C(C=C1(C))OC(=O)O[*],199.85
[*]N1C(=O)C2=CC=C(C=C2C1(=O))OC1=CC=C(C=C1)SC1=CC=C(C=C1)OC1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=CC(=C1)C(=O)C1=CC=CC(=C1)[*],199.85
[*]C(F)(F)C(F)(C1=CC=C(C=C1))[*],201.85
[*]C1=CC=C(C=C1)C(C)(C)C1=CC=C(C=C1)OC(=O)C1=CC=C(C=C1)C(=O)O[*],204.85
[*]OC1=C(C)C=C(C=C1(C))[*],208.85
[*]OC1=CC=C(C=C1)SC1=CC=C(C=C1)OC1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=CC(=C1)N1C(=O)C2=CC=C(C=C2C1(=O))[*],208.85
[*]N1C(=O)C2=CC=C(C=C2C1(=O))OC1=CC=C(C=C1)SC1=CC=C(C=C1)OC1=CC=C2C(=O)N(C(=O)C2=C1)C1=C(C=CC=C1)C(=O)C1=CC=C(C=C1)[*],211.85
[*]N1C(=O)C2=CC=C(C=C2C1(=O))OC1=CC=C(C=C1)SC1=CC=C(C=C1)OC1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=CC(=C1)C(=O)C1=CC=C(C=C1)[*],212.85
[*]OC2=C(C1=CC=CC=C1)C=C(C=C2C3=CC=CC=C3)[*],219.85
[*]OC1=CC=C(C=C1)C1=CC=C(C=C1)OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(C=C1)[*],219.85
